InteractionId,Category,Label,DefaultPrompt,PrimaryFeedback,ChainsInto,GameplayTags,UnrealInterface,UnrealComponent,UnrealEvent
repair,repair_restoration,Repair,Repair,repair_animation|sparks_or_light|state_restored,activate|upgrade,interaction.repair.repair|state.restored|progression.restoration,BPI_Repairable,ROAMRepairComponent,OnRepair
restore,repair_restoration,Restore,Restore,visible_restoration|area_lights_on|npc_use,explore|npc_use,interaction.repair.restore|world.restored|area.changed,BPI_Restorable,ROAMRestorationComponent,OnRestore
rebuild,repair_restoration,Rebuild,Rebuild,construction_progress|new_traversal|assembled_structure,traverse|access,interaction.repair.rebuild|build.structure|navigation.access,BPI_Buildable,ROAMBuildComponent,OnRebuild
replace_component,repair_restoration,Replace Component,Replace Component,part_snap|component_checkmark|mechanism_ready,test|operate,interaction.repair.replace_component|inventory.part|mechanism.component,BPI_ComponentSlot,ROAMComponentSlot,OnReplaceComponent
clean,repair_restoration,Clean,Clean,renewed_material|obstruction_removed|detail_revealed,inspect|repair,interaction.repair.clean|state.cleaned|world.revealed,BPI_Cleanable,ROAMCleanComponent,OnClean
lubricate,repair_restoration,Lubricate,Lubricate,smooth_motion|creak_reduced|mechanism_ready,activate,interaction.repair.lubricate|mechanism.movement|tool.oil,BPI_Mechanism,ROAMLubricationComponent,OnLubricate
reconnect,repair_restoration,Reconnect,Reconnect,connection_glow|flow_restored|linked_system_online,restore|activate,interaction.repair.reconnect|system.connection|world.flow,BPI_Connectable,ROAMConnectionComponent,OnReconnect
calibrate,repair_restoration,Calibrate,Calibrate,precision_indicator|needle_centered|signal_clarity,scan|observe,interaction.repair.calibrate|mechanism.precision|tool.instrument,BPI_Calibratable,ROAMCalibrationComponent,OnCalibrate
upgrade,repair_restoration,Upgrade,Upgrade,improved_performance|new_function|visual_enhancement,advanced_function|explore,interaction.repair.upgrade|progression.upgrade|system.advanced,BPI_Upgradeable,ROAMUpgradeComponent,OnUpgrade
test,repair_restoration,Test,Test,success_tone|failure_feedback|diagnostic_readout,operate|diagnose,interaction.repair.test|system.diagnostic|state.verified,BPI_Testable,ROAMDiagnosticComponent,OnTest
activate,environment,Activate,Activate,power_on|light_on|mechanism_motion,observe|open|restore,interaction.environment.activate|state.active|system.power,BPI_Interactable,ROAMActivationComponent,OnActivate
deactivate,environment,Deactivate,Deactivate,power_down|light_off|hazard_stops,open|repair|redirect,interaction.environment.deactivate|state.inactive|system.power,BPI_Interactable,ROAMActivationComponent,OnDeactivate
open,environment,Open,Open,opening_motion|access_revealed|audio_creak,explore|collect|enter,interaction.environment.open|navigation.access|state.open,BPI_Openable,ROAMOpenableComponent,OnOpen
close,environment,Close,Close,closing_motion|state_closed|audio_latch,lock|redirect|protect,interaction.environment.close|state.closed|navigation.blocked,BPI_Openable,ROAMOpenableComponent,OnClose
unlock,environment,Unlock,Unlock,lock_release|access_ready|key_consumed_or_checked,open|activate,interaction.environment.unlock|progression.lock|navigation.access,BPI_Lockable,ROAMLockComponent,OnUnlock
rotate,environment,Rotate,Rotate,rotation_motion|alignment_feedback|mechanism_shift,align|redirect|activate,interaction.environment.rotate|mechanism.rotation|puzzle.align,BPI_Rotatable,ROAMRotatableComponent,OnRotate
raise_lower,environment,Raise / Lower,Raise / Lower,vertical_motion|new_path|height_indicator,traverse|access,interaction.environment.raise_lower|mechanism.vertical|navigation.height,BPI_Movable,ROAMMoverComponent,OnRaiseLower
redirect,environment,Redirect,Redirect,flow_path_changed|new_link|target_receives_signal,restore|activate|illuminate,interaction.environment.redirect|system.flow|puzzle.routing,BPI_Redirectable,ROAMRedirectComponent,OnRedirect
drain,environment,Drain,Drain,level_drops|path_revealed|pressure_released,enter|repair|collect,interaction.environment.drain|system.fluid|navigation.revealed,BPI_Fillable,ROAMFluidComponent,OnDrain
fill,environment,Fill,Fill,level_rises|meter_fills|system_ready,activate|restore|operate,interaction.environment.fill|system.fluid|resource.input,BPI_Fillable,ROAMFluidComponent,OnFill
illuminate,environment,Illuminate,Illuminate,light_reveal|shadow_detail|safe_area,observe|discover|decode,interaction.environment.illuminate|light.reveal|world.visibility,BPI_Illuminable,ROAMLightRevealComponent,OnIlluminate
observe,environment,Observe,Observe,timed_pattern|camera_hold|insight_unlocked,identify|diagnose|record,interaction.environment.observe|time.pattern|world.awareness,BPI_Observable,ROAMObservationComponent,OnObserve
operate,environment,Operate,Operate,machine_response|control_panel|world_state_change,activate|redirect|restore,interaction.environment.operate|machine.control|system.usable,BPI_Operable,ROAMOperableComponent,OnOperate
navigate,environment,Navigate,Navigate,route_marker|map_update|camera_hint,discover|enter|explore,interaction.environment.navigate|navigation.route|map.path,BPI_Navigable,ROAMNavigationComponent,OnNavigate
collect,tool_based,Collect,Collect,inventory_add|object_removed_or_marked|collection_update,combine|craft|catalog,interaction.tool.collect|inventory.item|collection.pickup,BPI_Collectable,ROAMCollectableComponent,OnCollect
harvest,tool_based,Harvest,Harvest,resource_gain|node_cooldown|world_response,craft|trade|plant,interaction.tool.harvest|resource.renewable|inventory.resource,BPI_Harvestable,ROAMHarvestComponent,OnHarvest
mine,tool_based,Mine,Mine,impact_feedback|resource_drop|node_depleted,craft|build|trade,interaction.tool.mine|resource.raw|tool.extract,BPI_Mineable,ROAMExtractionComponent,OnMine
cut,tool_based,Cut,Cut,cut_motion|obstacle_removed|material_obtained,access|collect|repair,interaction.tool.cut|tool.blade|state.removed,BPI_Cuttable,ROAMCutComponent,OnCut
dig,tool_based,Dig,Dig,soil_displaced|object_revealed|terrain_mark,discover|collect|plant,interaction.tool.dig|terrain.modify|world.hidden,BPI_Diggable,ROAMDigComponent,OnDig
pry,tool_based,Pry,Pry,lever_motion|gap_opens|resistance_audio,open|repair|collect,interaction.tool.pry|tool.lever|access.force,BPI_Pryable,ROAMPryComponent,OnPry
lift,tool_based,Lift,Lift,weight_feedback|object_moved|path_cleared,carry|place|access,interaction.tool.lift|physics.weight|object.movable,BPI_Liftable,ROAMLiftComponent,OnLift
carry,tool_based,Carry,Carry,held_object|movement_weight|destination_hint,place|deliver|repair,interaction.tool.carry|inventory.held|quest.delivery,BPI_Carryable,ROAMCarryComponent,OnCarry
place,tool_based,Place,Place,snap_to_slot|placement_preview|system_updated,activate|combine|build,interaction.tool.place|inventory.slot|world.placement,BPI_Placeable,ROAMPlacementComponent,OnPlace
combine,tool_based,Combine,Combine,recipe_result|items_merged|new_object,craft|repair|unlock,interaction.tool.combine|inventory.recipe|crafting.merge,BPI_Combinable,ROAMCombineComponent,OnCombine
craft,tool_based,Craft,Craft,crafting_progress|new_item|recipe_confirmed,repair|build|upgrade,interaction.tool.craft|crafting.recipe|inventory.output,BPI_CraftingStation,ROAMCraftingComponent,OnCraft
plant,tool_based,Plant,Plant,growth_marker|ground_change|future_resource,harvest|restore|observe,interaction.tool.plant|world.growth|resource.future,BPI_Plantable,ROAMPlantComponent,OnPlant
build,tool_based,Build,Build,construction_preview|assembled_stage|new_function,restore|operate|collaborate,interaction.tool.build|build.structure|world.constructed,BPI_Buildable,ROAMBuildComponent,OnBuild
talk,social,Talk,Talk,dialogue_open|relationship_update|new_topic,ask|teach|trade,interaction.social.talk|npc.dialogue|relationship,BPI_Talkable,ROAMDialogueComponent,OnTalk
ask,social,Ask,Ask,answer_received|topic_unlocked|map_hint,learn|locate|assist,interaction.social.ask|npc.question|knowledge.request,BPI_Talkable,ROAMDialogueComponent,OnAsk
teach,social,Teach,Teach,knowledge_shared|npc_capability_unlocked|relationship_gain,collaborate|assist|celebrate,interaction.social.teach|knowledge.share|community.growth,BPI_Teachable,ROAMTeachingComponent,OnTeach
learn,social,Learn,Learn,knowledge_unlocked|recipe_added|skill_note,craft|repair|interpret,interaction.social.learn|knowledge.receive|skill.unlock,BPI_Teachable,ROAMTeachingComponent,OnLearn
trade,social,Trade,Trade,trade_panel|inventory_delta|relationship_note,craft|deliver|assist,interaction.social.trade|economy.trade|inventory.exchange,BPI_Trader,ROAMTradeComponent,OnTrade
deliver,social,Deliver,Deliver,quest_progress|item_handed_off|gratitude_response,assist|talk|celebrate,interaction.social.deliver|quest.delivery|npc.need,BPI_DeliveryTarget,ROAMDeliveryComponent,OnDeliver
assist,social,Assist,Assist,task_progress|npc_animation|relationship_gain,recruit|collaborate|restore,interaction.social.assist|community.help|quest.support,BPI_Assistable,ROAMAssistComponent,OnAssist
recruit,social,Recruit,Recruit,companion_added|crew_updated|new_capability,collaborate|build|restore,interaction.social.recruit|community.member|crew,BPI_Recruitable,ROAMRecruitComponent,OnRecruit
collaborate,social,Collaborate,Collaborate,joint_action|multi_actor_progress|community_result,build|restore|celebrate,interaction.social.collaborate|community.project|multi_actor,BPI_Collaborative,ROAMCollaborationComponent,OnCollaborate
share_knowledge,social,Share Knowledge,Share Knowledge,knowledge_spread|npc_state_update|new_dialogue,teach|assist|collaborate,interaction.social.share_knowledge|knowledge.share|npc.update,BPI_KnowledgeTarget,ROAMKnowledgeComponent,OnShareKnowledge
interpret,social,Interpret,Interpret,meaning_revealed|dialogue_context|quest_clarity,decode|teach|learn,interaction.social.interpret|knowledge.meaning|dialogue.context,BPI_Interpreter,ROAMInterpretComponent,OnInterpret
encourage,social,Encourage,Encourage,morale_gain|npc_confidence|community_state,assist|collaborate|celebrate,interaction.social.encourage|community.morale|relationship.support,BPI_Encouragable,ROAMMoraleComponent,OnEncourage
celebrate,social,Celebrate,Celebrate,completion_moment|npc_response|area_livelier,new_phase|community_growth,interaction.social.celebrate|quest.complete|community.ritual,BPI_Celebratable,ROAMCelebrationComponent,OnCelebrate
